Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"Grodzisk, Białołęka, Warszawa, mazowieckie",729000.0,68.0,pełna własność,3,do wykończenia,3,1030.0,miejskie,wtórny,biuro nieruchomości,2007,blok,0,Białołęka,10721.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
"Stary Mokotów, Mokotów, Warszawa, mazowieckie",890000.0,47.0,pełna własność,2,do remontu,3,721.0,miejskie,wtórny,biuro nieruchomości,1983,kamienica,1,Mokotów,18936.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ul. Wołoska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",739000.0,48.7,spółdzielcze wł. prawo do lokalu,2,do remontu,1,960.0,miejskie,wtórny,biuro nieruchomości,1958,kamienica,1,Mokotów,15175.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ul. Przy Agorze, Wrzeciono, Bielany, Warszawa, mazowieckie",509000.0,24.7,pełna własność,1,do remontu,2,420.0,miejskie,wtórny,biuro nieruchomości,2008,blok,1,Bielany,20607.0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
"ul. Nowoursynowska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",1190000.0,76.3,pełna własność,3,do zamieszkania,2,700.0,miejskie,wtórny,prywatny,2001,apartamentowiec,1,Ursynów,15596.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",629000.0,41.37,pełna własność,2,do zamieszkania,2,580.0,miejskie,wtórny,biuro nieruchomości,2010,dom wolnostojący,0,Białołęka,15204.0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"al. Aleja Komisji Edukacji Narodowej 36, Natolin, Ursynów, Warszawa, mazowieckie",1345000.0,62.16,pełna własność,2,do zamieszkania,4,1130.0,miejskie,wtórny,biuro nieruchomości,2003,apartamentowiec,1,Ursynów,21638.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Tadeusza Korsaka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",530000.0,30.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,4,600.0,miejskie,wtórny,biuro nieruchomości,1970,blok,1,Praga-Północ,17667.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"ul. Apenińska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",985000.0,63.0,pełna własność,3,do zamieszkania,0,1000.0,miejskie,wtórny,biuro nieruchomości,1984,blok,0,Bemowo,15635.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ul. Bełdan, Służew, Mokotów, Warszawa, mazowieckie",830000.0,48.0,pełna własność,2,do wykończenia,1,700.0,miejskie,wtórny,biuro nieruchomości,1970,blok,1,Mokotów,17292.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"al. Aleje Jerozolimskie, Stara Ochota, Ochota, Warszawa, mazowieckie",610000.0,25.6,pełna własność,1,do wykończenia,5,460.0,miejskie,wtórny,biuro nieruchomości,1971,blok,1,Ochota,23828.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Iwicka, Sielce, Mokotów, Warszawa, mazowieckie",1275000.0,45.42,pełna własność,2,do zamieszkania,1,800.0,miejskie,wtórny,biuro nieruchomości,2022,apartamentowiec,1,Mokotów,28071.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Sulejkowska, Grochów, Praga-Południe, Warszawa, mazowieckie",760000.0,39.73,pełna własność,2,do zamieszkania,1,400.0,miejskie,wtórny,biuro nieruchomości,2014,apartamentowiec,1,Praga-Południe,19129.0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
"ul. Witebska, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",1199000.0,69.58,pełna własność,3,do zamieszkania,5,880.0,miejskie,wtórny,biuro nieruchomości,2021,blok,1,Targówek,17232.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Grenadierów, Grochów, Praga-Południe, Warszawa, mazowieckie",1050000.0,60.0,pełna własność,3,do zamieszkania,3,834.0,miejskie,wtórny,biuro nieruchomości,1964,blok,0,Praga-Południe,17500.0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
"ul. Książkowa, Nowodwory, Białołęka, Warszawa, mazowieckie",945000.0,60.1,pełna własność,3,do zamieszkania,7,460.0,miejskie,wtórny,prywatny,2001,blok,1,Białołęka,15724.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",899000.0,41.0,pełna własność,2,do zamieszkania,6,596.0,miejskie,wtórny,biuro nieruchomości,2019,apartamentowiec,1,Wola,21927.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"Ulrychów, Wola, Warszawa, mazowieckie",606000.0,38.0,pełna własność,2,do remontu,1,700.0,miejskie,wtórny,biuro nieruchomości,1960,blok,0,Wola,15947.0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
"ul. Stefana Starzyńskiego, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",560000.0,36.4,pełna własność,2,do zamieszkania,4,600.0,miejskie,wtórny,biuro nieruchomości,1964,dom wolnostojący,1,Praga-Północ,15385.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",1850000.0,96.79,pełna własność,4,do zamieszkania,2,900.0,miejskie,wtórny,biuro nieruchomości,2018,apartamentowiec,1,Praga-Południe,19114.0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
"ul. Bitwy Warszawskiej 1920 r., Stara Ochota, Ochota, Warszawa, mazowieckie",700000.0,47.0,pełna własność,2,do remontu,6,900.0,miejskie,wtórny,biuro nieruchomości,1959,kamienica,1,Ochota,14894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Widawska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",869000.0,69.0,spółdzielcze wł. prawo do lokalu,3,do remontu,3,640.0,miejskie,wtórny,prywatny,2003,blok,1,Bemowo,12594.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1910000.0,73.7,pełna własność,3,do zamieszkania,0,1100.0,miejskie,wtórny,biuro nieruchomości,2016,apartamentowiec,1,Żoliborz,25916.0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0
"ul. Szaserów, Gocławek, Praga-Południe, Warszawa, mazowieckie",1059000.0,66.24,pełna własność,3,do wykończenia,3,913.0,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,1,Praga-Południe,15987.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Jagiellońska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",935000.0,60.5,spółdzielcze wł. prawo do lokalu,3,do remontu,1,910.0,miejskie,wtórny,biuro nieruchomości,1968,blok,0,Praga-Północ,15455.0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",799000.0,48.8,udział,3,do wykończenia,2,830.0,miejskie,wtórny,biuro nieruchomości,1971,blok,1,Wola,16373.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0
"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1780000.0,86.7,pełna własność,3,do zamieszkania,3,1250.0,miejskie,wtórny,biuro nieruchomości,2011,blok,1,Wilanów,20531.0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1
"ul. Franciszka Kawy, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",899000.0,53.5,pełna własność,3,do zamieszkania,2,1010.0,miejskie,wtórny,biuro nieruchomości,2009,blok,1,Bemowo,16804.0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0
"ul. Żytnia, Młynów, Wola, Warszawa, mazowieckie",859000.0,46.7,pełna własność,2,do zamieszkania,3,700.0,miejskie,wtórny,biuro nieruchomości,1960,blok,0,Wola,18394.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Wierzbno, Mokotów, Warszawa, mazowieckie",720000.0,37.2,pełna własność,1,do wykończenia,2,380.0,miejskie,pierwotny,prywatny,2006,apartamentowiec,1,Mokotów,19355.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"ul. Władysława Korotyńskiego, Szczęśliwice, Ochota, Warszawa, mazowieckie",989000.0,65.3,pełna własność,3,do zamieszkania,10,1200.0,miejskie,wtórny,biuro nieruchomości,1977,blok,1,Ochota,15145.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
