Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"ul. Hansa Christiana Andersena, Wawrzyszew, Bielany, Warszawa, mazowieckie",760000.0,46.7,spółdzielcze wł. prawo do lokalu,2,do remontu,4,450.0,miejskie,wtórny,biuro nieruchomości,1976,blok,1,Bielany,16274.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Michała Kleofasa Ogińskiego, Bródno, Targówek, Warszawa, mazowieckie",599000.0,42.5,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,9,880.0,miejskie,wtórny,biuro nieruchomości,1975,blok,1,Targówek,14094.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Chłodna, Mirów, Wola, Warszawa, mazowieckie",920000.0,38.8,pełna własność,2,do zamieszkania,10,730.0,miejskie,wtórny,biuro nieruchomości,1969,blok,1,Wola,23711.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",588000.0,37.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,0,450.0,miejskie,wtórny,biuro nieruchomości,1959,blok,0,Żoliborz,15892.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ul. Starowiślna, Żerań, Białołęka, Warszawa, mazowieckie",549000.0,30.39,pełna własność,1,do zamieszkania,6,540.0,miejskie,wtórny,prywatny,2019,blok,1,Białołęka,18065.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Gustawa Daniłowskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",529000.0,28.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,1,600.0,miejskie,wtórny,biuro nieruchomości,1975,blok,1,Bielany,18893.0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
"Skorosze, Ursus, Warszawa, mazowieckie",840000.0,52.0,pełna własność,2,do zamieszkania,3,817.0,miejskie,wtórny,biuro nieruchomości,2004,apartamentowiec,1,Ursus,16154.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"Wyględów, Mokotów, Warszawa, mazowieckie",990000.0,62.5,spółdzielcze wł. prawo do lokalu,2,do remontu,1,772.0,miejskie,wtórny,biuro nieruchomości,1997,blok,1,Mokotów,15840.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
"Ksawerów, Mokotów, Warszawa, mazowieckie",2200000.0,105.0,pełna własność,3,do zamieszkania,2,1300.0,miejskie,wtórny,biuro nieruchomości,2006,apartamentowiec,1,Mokotów,20952.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"ul. Obozowa, Ulrychów, Wola, Warszawa, mazowieckie",849000.0,40.0,pełna własność,2,do zamieszkania,2,850.0,miejskie,wtórny,prywatny,2020,apartamentowiec,1,Wola,21225.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Leona Berensona 55g, Grodzisk, Białołęka, Warszawa, mazowieckie",699500.0,49.59,pełna własność,2,do zamieszkania,0,980.0,inne,wtórny,prywatny,2014,blok,1,Białołęka,14106.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Edmunda Jana Osmańczyka, Fort Bema, Bemowo, Warszawa, mazowieckie",919000.0,51.1,pełna własność,2,do zamieszkania,3,744.97,miejskie,wtórny,prywatny,2006,blok,1,Bemowo,17984.0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
"ul. Adama Jarzębskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",547900.0,28.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,5,650.0,miejskie,wtórny,biuro nieruchomości,1975,blok,0,Bielany,19568.0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
"Nowodwory, Białołęka, Warszawa, mazowieckie",890000.0,59.72,pełna własność,3,do zamieszkania,10,900.0,gazowe,wtórny,prywatny,2016,blok,1,Białołęka,14903.0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",885000.0,46.79,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,7,1000.0,miejskie,wtórny,biuro nieruchomości,1968,blok,1,Mokotów,18914.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"rynek Rynek Starego Miasta, Stare Miasto, Śródmieście, Warszawa, mazowieckie",1799000.0,95.0,pełna własność,5,do zamieszkania,3,880.0,miejskie,wtórny,biuro nieruchomości,1953,kamienica,0,Śródmieście,18937.0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0
"ul. Dzielna, Muranów, Śródmieście, Warszawa, mazowieckie",650000.0,35.32,pełna własność,1,do remontu,0,583.0,miejskie,wtórny,biuro nieruchomości,1959,plomba,0,Śródmieście,18403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Stefana Bobrowskiego, Szczęśliwice, Ochota, Warszawa, mazowieckie",829000.0,38.0,pełna własność,2,do zamieszkania,3,600.0,miejskie,wtórny,biuro nieruchomości,1954,kamienica,0,Ochota,21816.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Rosy Bailly, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",615000.0,35.1,spółdzielcze wł. prawo do lokalu,2,do wykończenia,1,800.0,miejskie,wtórny,biuro nieruchomości,1988,blok,1,Bemowo,17521.0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
"ul. Krasnowolska, Grabów, Ursynów, Warszawa, mazowieckie",1250000.0,127.0,pełna własność,4,do zamieszkania,1,1.0,miejskie,wtórny,biuro nieruchomości,2015,apartamentowiec,0,Ursynów,9843.0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",750000.0,38.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,1,680.0,miejskie,wtórny,prywatny,1973,blok,0,Praga-Południe,19737.0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
"ul. Okopowa 16, Nowolipki, Wola, Warszawa, mazowieckie",689000.0,33.5,pełna własność,2,do zamieszkania,8,406.0,miejskie,wtórny,biuro nieruchomości,1964,blok,1,Wola,20567.0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0
"ul. Światowida 61, Tarchomin, Białołęka, Warszawa, mazowieckie",1119000.0,80.0,pełna własność,3,do zamieszkania,6,860.0,miejskie,wtórny,prywatny,2006,blok,1,Białołęka,13988.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Karolkowa, Czyste, Wola, Warszawa, mazowieckie",1167320.0,41.69,pełna własność,2,do zamieszkania,2,680.0,miejskie,wtórny,prywatny,2020,apartamentowiec,1,Wola,28000.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Nowolipki 26, Nowolipki, Wola, Warszawa, mazowieckie",880000.0,42.0,pełna własność,2,do zamieszkania,3,600.0,miejskie,wtórny,prywatny,1955,kamienica,0,Wola,20952.0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0
"ul. Łabiszyńska, Bródno, Targówek, Warszawa, mazowieckie",599000.0,37.6,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,8,700.0,miejskie,wtórny,prywatny,1975,blok,1,Targówek,15931.0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"ul. Lwa Tołstoja, Wawrzyszew, Bielany, Warszawa, mazowieckie",735000.0,41.5,pełna własność,2,do wykończenia,3,480.0,miejskie,wtórny,biuro nieruchomości,1974,blok,1,Bielany,17711.0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"ul. Komputerowa, Służewiec, Mokotów, Warszawa, mazowieckie",865000.0,42.06,pełna własność,2,do wykończenia,4,800.0,miejskie,wtórny,biuro nieruchomości,2018,blok,1,Mokotów,20566.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",945000.0,54.0,pełna własność,3,do wykończenia,1,980.0,miejskie,wtórny,biuro nieruchomości,1975,blok,1,Praga-Południe,17500.0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
"stacja metra Rondo Daszyńskiego, Mirów, Wola, Warszawa, mazowieckie",1300000.0,47.1,pełna własność,2,do zamieszkania,10,810.0,miejskie,wtórny,biuro nieruchomości,2005,apartamentowiec,1,Wola,27601.0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1250000.0,44.9,pełna własność,2,do zamieszkania,2,650.0,miejskie,wtórny,biuro nieruchomości,1936,kamienica,0,Śródmieście,27840.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ul. Batalionów Chłopskich, Chrzanów, Bemowo, Warszawa, mazowieckie",865000.0,51.93,pełna własność,2,do zamieszkania,3,450.0,miejskie,wtórny,biuro nieruchomości,2017,apartamentowiec,1,Bemowo,16657.0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
"ul. Marcina Kasprzaka 31b, Odolany, Wola, Warszawa, mazowieckie",1299500.0,50.44,pełna własność,3,do zamieszkania,1,750.0,miejskie,wtórny,prywatny,2016,apartamentowiec,1,Wola,25763.0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",1000000.0,28.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,10,650.0,miejskie,wtórny,prywatny,1972,blok,1,Wola,35714.0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",570000.0,35.07,pełna własność,1,do zamieszkania,1,330.0,miejskie,wtórny,biuro nieruchomości,1936,blok,0,Praga-Północ,16253.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ul. Równoległa, Raków, Włochy, Warszawa, mazowieckie",777000.0,42.4,pełna własność,2,do zamieszkania,0,400.0,miejskie,wtórny,biuro nieruchomości,2020,blok,1,Włochy,18325.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Pasaż Ursynowski 7, Ursynów Północny, Ursynów, Warszawa, mazowieckie",1120000.0,63.5,spółdzielcze wł. prawo do lokalu,3,do wykończenia,2,900.0,miejskie,wtórny,prywatny,1994,blok,0,Ursynów,17638.0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1
"Grodzisk, Białołęka, Warszawa, mazowieckie",1000000.0,65.0,pełna własność,3,do wykończenia,2,500.0,miejskie,wtórny,biuro nieruchomości,2003,apartamentowiec,1,Białołęka,15385.0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"ul. Bonifraterska, Nowe Miasto, Śródmieście, Warszawa, mazowieckie",1900000.0,52.86,pełna własność,2,do zamieszkania,3,1127.0,miejskie,wtórny,biuro nieruchomości,2022,apartamentowiec,1,Śródmieście,35944.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"ul. Krzysztofa Kieślowskiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",2070000.0,109.0,pełna własność,4,do zamieszkania,2,1800.0,miejskie,wtórny,biuro nieruchomości,2006,apartamentowiec,1,Wilanów,18991.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"Odolany, Wola, Warszawa, mazowieckie",950000.0,46.27,pełna własność,3,do zamieszkania,8,580.0,miejskie,wtórny,biuro nieruchomości,2018,blok,1,Wola,20532.0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"ul. Czerniakowska, Czerniaków, Mokotów, Warszawa, mazowieckie",715000.0,40.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,7,550.0,miejskie,wtórny,prywatny,1980,blok,1,Mokotów,17875.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Rajska 5, Wyględów, Mokotów, Warszawa, mazowieckie",1170000.0,51.1,pełna własność,2,do zamieszkania,2,950.0,miejskie,wtórny,biuro nieruchomości,2007,blok,1,Mokotów,22896.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"al. Aleja Jana Pawła II 80, Muranów, Śródmieście, Warszawa, mazowieckie",1367500.0,65.0,pełna własność,2,do zamieszkania,3,920.6,miejskie,wtórny,biuro nieruchomości,2001,blok,1,Śródmieście,21038.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"ul. Ryżowa 44, Skorosze, Ursus, Warszawa, mazowieckie",799000.0,53.1,pełna własność,2,do zamieszkania,3,457.52,miejskie,wtórny,biuro nieruchomości,2009,blok,1,Ursus,15047.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",1150000.0,59.0,pełna własność,3,do zamieszkania,3,810.0,miejskie,wtórny,biuro nieruchomości,2018,blok,1,Praga-Południe,19492.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Dobra, Powiśle, Śródmieście, Warszawa, mazowieckie",1119705.0,44.79,pełna własność,2,do wykończenia,0,678.0,miejskie,wtórny,biuro nieruchomości,1925,kamienica,0,Śródmieście,24999.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Dereniowa, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",865000.0,65.0,pełna własność,3,do remontu,5,1016.0,gazowe,wtórny,biuro nieruchomości,1982,blok,0,Ursynów,13308.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Władysława Broniewskiego 9A, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",429999.0,20.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,4,300.0,miejskie,wtórny,prywatny,1980,blok,1,Żoliborz,21500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",395000.0,19.0,pełna własność,1,do zamieszkania,7,700.0,miejskie,wtórny,biuro nieruchomości,2021,apartamentowiec,1,Wola,20789.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Nowogrodzka, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",1539000.0,55.0,pełna własność,2,do remontu,5,800.0,miejskie,wtórny,biuro nieruchomości,1912,kamienica,1,Śródmieście,27982.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Młynów, Wola, Warszawa, mazowieckie",1500000.0,71.43,pełna własność,3,do wykończenia,3,1200.0,miejskie,wtórny,biuro nieruchomości,2005,blok,1,Wola,21000.0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0
"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1270000.0,53.0,pełna własność,2,do zamieszkania,3,700.0,miejskie,wtórny,biuro nieruchomości,2011,apartamentowiec,1,Wilanów,23962.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kamionek, Praga-Południe, Warszawa, mazowieckie",1670000.0,77.07,pełna własność,3,do zamieszkania,6,988.0,miejskie,wtórny,biuro nieruchomości,2021,apartamentowiec,1,Praga-Południe,21669.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ul. Górna Droga, Czechowice, Ursus, Warszawa, mazowieckie",695000.0,50.2,pełna własność,2,do zamieszkania,3,800.0,kotłownia,wtórny,prywatny,2001,apartamentowiec,1,Ursus,13845.0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0
"ul. Mińska, Grochów, Praga-Południe, Warszawa, mazowieckie",1195000.0,58.0,pełna własność,3,do zamieszkania,0,900.0,miejskie,wtórny,biuro nieruchomości,2021,blok,1,Praga-Południe,20603.0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
"ul. gen. Tadeusza Bora-Komorowskiego 56, Gocław, Praga-Południe, Warszawa, mazowieckie",1790000.0,77.3,pełna własność,3,do zamieszkania,5,960.0,miejskie,wtórny,prywatny,2011,apartamentowiec,1,Praga-Południe,23157.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Aleksandra Gajkowicza, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",798000.0,54.63,pełna własność,3,do zamieszkania,4,752.0,miejskie,wtórny,biuro nieruchomości,1974,blok,1,Targówek,14607.0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0
"ul. Aleksandra Kamińskiego 14, Tarchomin, Białołęka, Warszawa, mazowieckie",580000.0,39.14,pełna własność,2,do zamieszkania,1,1000.0,miejskie,wtórny,biuro nieruchomości,1990,blok,0,Białołęka,14819.0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0
"ul. Antoniego Kocjana, Groty, Bemowo, Warszawa, mazowieckie",1350000.0,87.0,pełna własność,3,do remontu,1,800.0,miejskie,wtórny,biuro nieruchomości,2008,apartamentowiec,1,Bemowo,15517.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Białobrzeska, Stara Ochota, Ochota, Warszawa, mazowieckie",890000.0,51.29,pełna własność,2,do zamieszkania,3,700.0,miejskie,wtórny,biuro nieruchomości,1935,kamienica,0,Ochota,17352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Sejmu Czteroletniego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",848000.0,43.5,pełna własność,2,do zamieszkania,0,750.0,miejskie,wtórny,biuro nieruchomości,2013,blok,1,Wilanów,19494.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"ul. Księcia Bolesława, Fort Bema, Bemowo, Warszawa, mazowieckie",1340000.0,62.3,pełna własność,3,do zamieszkania,1,713.0,miejskie,wtórny,prywatny,2005,blok,1,Bemowo,21509.0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0
"ul. mjr. Henryka Sucharskiego, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",599000.0,42.79,pełna własność,2,do remontu,5,572.0,miejskie,wtórny,biuro nieruchomości,1974,blok,1,Bemowo,13999.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Pustola, Ulrychów, Wola, Warszawa, mazowieckie",1099000.0,54.0,pełna własność,2,do zamieszkania,4,650.0,miejskie,wtórny,biuro nieruchomości,2015,apartamentowiec,1,Wola,20352.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ul. Klinkierowa, Raków, Włochy, Warszawa, mazowieckie",1129000.0,66.5,pełna własność,3,do zamieszkania,4,769.0,miejskie,wtórny,biuro nieruchomości,2019,apartamentowiec,1,Włochy,16977.0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0
"ul. Wrzeciono 32, Wrzeciono, Bielany, Warszawa, mazowieckie",849000.0,57.38,pełna własność,3,do zamieszkania,7,830.0,miejskie,wtórny,prywatny,1968,blok,1,Bielany,14796.0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0
"ul. Karmelicka 30, Muranów, Śródmieście, Warszawa, mazowieckie",936000.0,52.19,pełna własność,3,do zamieszkania,1,985.0,miejskie,wtórny,biuro nieruchomości,1962,blok,1,Śródmieście,17934.0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0
"ul. Kłobucka 8a, Wyczółki, Ursynów, Warszawa, mazowieckie",930000.0,46.41,pełna własność,2,do zamieszkania,6,520.0,miejskie,wtórny,prywatny,2016,blok,1,Ursynów,20039.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
"ul. Tomcia Palucha, Skorosze, Ursus, Warszawa, mazowieckie",350000.0,24.5,spółdzielcze wł. prawo do lokalu,1,do remontu,7,180.0,elektryczne,wtórny,prywatny,2003,blok,0,Ursus,14286.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ul. św. Bonifacego, Sadyba, Mokotów, Warszawa, mazowieckie",779000.0,47.0,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,4,611.0,miejskie,wtórny,biuro nieruchomości,1970,blok,1,Mokotów,16574.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ul. Mariana Smoluchowskiego 5, Służew, Mokotów, Warszawa, mazowieckie",735000.0,46.0,pełna własność,2,do wykończenia,4,700.0,miejskie,wtórny,prywatny,1975,blok,1,Mokotów,15978.0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"Żerań, Białołęka, Warszawa, mazowieckie",1390275.0,75.15,pełna własność,4,do zamieszkania,2,900.0,miejskie,wtórny,prywatny,2020,blok,1,Białołęka,18500.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Kompanii AK ""Kordian"", Czechowice, Ursus, Warszawa, mazowieckie",770000.0,43.0,pełna własność,2,do zamieszkania,7,500.0,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,1,Ursus,17907.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ul. Stalowa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",650000.0,33.73,pełna własność,1,do remontu,2,615.0,miejskie,wtórny,biuro nieruchomości,1955,kamienica,1,Praga-Północ,19271.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ul. Polinezyjska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",969000.0,68.8,spółdzielcze wł. prawo do lokalu,2,do remontu,7,1300.0,miejskie,wtórny,biuro nieruchomości,1974,blok,1,Ursynów,14084.0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
"ul. Wyspowa 1, Zacisze, Targówek, Warszawa, mazowieckie",1130000.0,75.47,pełna własność,3,do zamieszkania,0,900.0,miejskie,wtórny,prywatny,2009,blok,1,Targówek,14973.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Jana Maklakiewicza, Wyględów, Mokotów, Warszawa, mazowieckie",849000.0,49.0,pełna własność,3,do zamieszkania,9,826.0,miejskie,wtórny,biuro nieruchomości,1971,blok,1,Mokotów,17327.0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0
"ul. Sonaty 6, Służew, Mokotów, Warszawa, mazowieckie",1500000.0,69.9,pełna własność,4,do zamieszkania,5,1140.9,miejskie,wtórny,prywatny,1976,blok,1,Mokotów,21459.0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1150000.0,49.3,pełna własność,2,do zamieszkania,2,650.0,miejskie,wtórny,prywatny,2015,blok,0,Wilanów,23327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",1099000.0,45.5,pełna własność,2,do zamieszkania,10,750.0,kotłownia,wtórny,prywatny,2004,apartamentowiec,1,Wola,24154.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1714755.0,69.99,pełna własność,3,do zamieszkania,0,1100.0,miejskie,wtórny,prywatny,2016,blok,1,Wilanów,24500.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"Służew nad dolinką, Szamocin, Białołęka, Warszawa, mazowieckie",1152000.0,64.0,pełna własność,3,do zamieszkania,3,860.0,miejskie,wtórny,prywatny,1978,blok,1,Białołęka,18000.0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0
"ul. Bartycka, Czerniaków, Mokotów, Warszawa, mazowieckie",780000.0,47.0,pełna własność,2,do zamieszkania,2,670.0,miejskie,wtórny,prywatny,2001,blok,1,Mokotów,16596.0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0
"ul. Synów Pułku, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",530000.0,30.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,10,580.0,miejskie,wtórny,prywatny,1976,blok,1,Bemowo,17667.0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"ul. Cyrklowa, Gocław, Praga-Południe, Warszawa, mazowieckie",649000.0,38.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,0,500.0,miejskie,wtórny,prywatny,1970,blok,0,Praga-Południe,17079.0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
"ul. Jana Kazimierza 60, Odolany, Wola, Warszawa, mazowieckie",1347000.0,60.3,pełna własność,3,do zamieszkania,3,550.0,miejskie,wtórny,prywatny,2009,apartamentowiec,1,Wola,22338.0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
"ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie",830000.0,45.5,pełna własność,2,do zamieszkania,5,785.0,miejskie,wtórny,biuro nieruchomości,2016,blok,1,Ursynów,18242.0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
"ul. Smardzewska, Międzylesie, Wawer, Warszawa, mazowieckie",739000.0,49.0,pełna własność,2,do zamieszkania,2,740.0,miejskie,wtórny,prywatny,2005,blok,1,Wawer,15082.0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0
"ul. Stanisława Witkiewicza, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",615000.0,41.13,pełna własność,2,do zamieszkania,0,365.0,gazowe,wtórny,biuro nieruchomości,1937,kamienica,0,Praga-Północ,14953.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Sadyba, Mokotów, Warszawa, mazowieckie",1350000.0,56.0,pełna własność,3,do zamieszkania,7,780.0,miejskie,wtórny,prywatny,2018,apartamentowiec,1,Mokotów,24107.0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1
"ul. Aleksandra Kamińskiego, Tarchomin, Białołęka, Warszawa, mazowieckie",599000.0,31.7,pełna własność,1,do zamieszkania,6,480.0,miejskie,wtórny,prywatny,2018,blok,1,Białołęka,18896.0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0
"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",679000.0,37.5,pełna własność,2,do remontu,5,530.0,miejskie,wtórny,biuro nieruchomości,1970,blok,1,Praga-Południe,18107.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ul. Nowoursynowska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",2340000.0,123.0,pełna własność,4,do zamieszkania,1,920.0,miejskie,wtórny,biuro nieruchomości,2007,apartamentowiec,1,Ursynów,19024.0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie",739000.0,41.07,pełna własność,2,do zamieszkania,0,580.0,miejskie,wtórny,biuro nieruchomości,2022,apartamentowiec,1,Bielany,17994.0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Krańcowa, Salomea, Włochy, Warszawa, mazowieckie",650000.0,35.61,pełna własność,2,do zamieszkania,5,620.0,miejskie,wtórny,prywatny,2013,blok,1,Włochy,18253.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Michała Kleofasa Ogińskiego, Bródno, Targówek, Warszawa, mazowieckie",479000.0,30.5,pełna własność,1,do zamieszkania,5,690.0,miejskie,wtórny,biuro nieruchomości,1980,blok,1,Targówek,15705.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",910000.0,69.9,pełna własność,3,do zamieszkania,0,1100.0,miejskie,wtórny,biuro nieruchomości,2003,blok,1,Białołęka,13019.0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0
