Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"37,68 m²",pełna własność,2,do wykończenia,2/3,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4hzyt
"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",Zapytaj o cenę,"55,21 m²",pełna własność,3,do wykończenia,4/6,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-loggia-ID4mvmq
"ul. Orzechowa, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,"56,66 m²",pełna własność,3,do wykończenia,5/5,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-2-balkony-ID4oaG3
"ul. Przyokopowa, Czyste, Wola, Warszawa, mazowieckie",Zapytaj o cenę,"44,46 m²",pełna własność,2,do wykończenia,6/6,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-loggia-bezposrednio-ID4jK7l
"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,"86,2 m²",pełna własność,4,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-ID4idcs
"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,"62,51 m²",pełna własność,3,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-balkon-bez-prowizji-ID4idcb
"al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,"58,53 m²",pełna własność,3,do wykończenia,2/10,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-loggia-bez-prowizji-ID4fpO0
"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"59,9 m²",pełna własność,4,do wykończenia,2/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4pfZ6
"ul. Marszałkowska, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1 049 000 zł,49 m²,pełna własność,2,do zamieszkania,2/7,balkon,890 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,1957,blok,plastikowe,tak,,domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-centrum-warszawy-ID4ro3d
"ul. Bohuna, Brzeziny, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"61,6 m²",pełna własność,3,do wykończenia,1/2,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-bezposrednio-ID4rmdl
"ul. Łopianowa, Żerań, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"77,78 m²",pełna własność,4,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-77m2-balkon-bez-prowizji-ID4pV8b
"ul. Powsińska, Sadyba, Mokotów, Warszawa, mazowieckie",912 258 zł,"51,54 m²",pełna własność,2,do wykończenia,3/11,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bezposrednio-ID4mTFE
"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"63,15 m²",pełna własność,3,do wykończenia,5/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-ID4o59o
"ul. Chodakowska, Grochów, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,"65,75 m²",pełna własność,4,do wykończenia,4/5,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-65m2-balkon-ID4oytd
"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"56,48 m²",pełna własność,3,do wykończenia,1/5,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bezposrednio-ID4jvZr
"Mirów, Wola, Warszawa, mazowieckie",800 000 zł,30 m²,pełna własność,1,do zamieszkania,8/15,balkon,400 zł,,miejskie,A,wtórny,prywatny,,2010,apartamentowiec,plastikowe,tak,telewizja kablowa,"teren zamknięty, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",,beton komórkowy,https://www.otodom.pl/pl/oferta/eleganckie-i-ciche-mieszkanie-w-samym-centrum-ID4rcF7
"ul. Szwedzka, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",922 747 zł,"43,22 m²",pełna własność,2,do zamieszkania,4/5,"balkon, taras",653 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-09-29,2020,apartamentowiec,,tak,internet,monitoring / ochrona,"zmywarka, lodówka, meble, kuchenka, pralka","klimatyzacja, pom. użytkowe",,https://www.otodom.pl/pl/oferta/dwupokojowy-apartament-przy-stacji-metra-szwedzka-ID4ro2D
"ul. Szaserów, Gocławek, Praga-Południe, Warszawa, mazowieckie",685 000 zł,41 m²,pełna własność,2,do zamieszkania,parter/2,,500 zł,garaż/miejsce parkingowe,elektryczne,,wtórny,prywatny,,1939,kamienica,plastikowe,nie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,piwnica,cegła,https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-do-wprowadzenia-ID4qi48
"ul. Ogrodowa 48, Mirów, Wola, Warszawa, mazowieckie",1 389 000 zł,"46,3 m²",,2,do zamieszkania,2/7,balkon,1 000 zł,,miejskie,,wtórny,prywatny,,2016,apartamentowiec,,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",,inny,https://www.otodom.pl/pl/oferta/ogrodowa-48-wysoki-standard-ID4ro25
"Skorosze, Ursus, Warszawa, mazowieckie",825 000 zł,64 m²,,3,do zamieszkania,6/7,,600 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2008,blok,,tak,,monitoring / ochrona,meble,,,https://www.otodom.pl/pl/oferta/ustawne-3-pokojowe-skm-ru-ua-en-ch-skorosze-ID4ro2a
"ul. Obarowska, Grochów, Praga-Południe, Warszawa, mazowieckie",1 290 000 zł,"67,7 m²",pełna własność,3,do zamieszkania,2/5,balkon,860 zł,garaż/miejsce parkingowe,kotłownia,,wtórny,prywatny,,2011,blok,drewniane,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,https://www.otodom.pl/pl/oferta/mieszkanie-o-wysokim-standardzie-w-malym-bloku-ID4rcEF
"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",694 000 zł,"67,06 m²",pełna własność,3,do zamieszkania,2/2,balkon,700 zł,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,,1988,blok,,nie,,,,"piwnica, oddzielna kuchnia",,https://www.otodom.pl/pl/oferta/mieszkanie-67-06-m-warszawa-ID4ro1U
"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",499 000 zł,30 m²,pełna własność,1,do zamieszkania,5/5,balkon,400 zł,,miejskie,,wtórny,prywatny,,2023,blok,plastikowe,nie,,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,https://www.otodom.pl/pl/oferta/marywilska-30m-2023r-piekny-widok-bezposrednio-ID4rcz3
"ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie",720 000 zł,"28,5 m²",pełna własność,2,do zamieszkania,parter/8,taras,400 zł,garaż/miejsce parkingowe,miejskie,A+,wtórny,prywatny,,2018,apartamentowiec,drewniane,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",,pustak,https://www.otodom.pl/pl/oferta/2-pokoje-na-mokotowie-z-miejscem-postojowym-ID4rcEn
"Pyry, Ursynów, Warszawa, mazowieckie",799 000 zł,"47,7 m²",,2,,parter/4,"balkon, ogródek",800 zł,,miejskie,,wtórny,biuro nieruchomości,,1984,blok,plastikowe,nie,,,,"piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/dwa-odrebne-pokoje-48m2-z-ogrodkiem-ursynow-ID4rnRO
"ul. Młynarska, Młynów, Wola, Warszawa, mazowieckie",620 000 zł,39 m²,,2,do zamieszkania,1/9,balkon,826 zł,,,,wtórny,biuro nieruchomości,,1965,,,nie,,,,piwnica,,https://www.otodom.pl/pl/oferta/2-pokojowe-w-doskonalej-lokalizacji-ID4rlhd
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",865 000 zł,"48,3 m²",spółdzielcze wł. prawo do lokalu,3,do wykończenia,1/17,,,,miejskie,,wtórny,biuro nieruchomości,,1972,blok,,tak,,"monitoring / ochrona, domofon / wideofon",,,beton,https://www.otodom.pl/pl/oferta/3-pokoje-w-centrum-metro-rondo-onz-ciche-ID4ro0y
"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",820 000 zł,"50,32 m²",,2,,3/4,balkon,800 zł,garaż/miejsce parkingowe,,,wtórny,prywatny,,2003,,,tak,,"teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/miejsce-garazowe-w-cenie-2-pokoje-balkon-mokotow-ID4pk85
"ul. Platynowa 6, Mirów, Wola, Warszawa, mazowieckie",1 030 000 zł,"36,3 m²",pełna własność,2,do zamieszkania,8/11,balkon,,,miejskie,A,wtórny,prywatny,,1964,blok,plastikowe,tak,"telewizja kablowa, internet",drzwi / okna antywłamaniowe,"zmywarka, lodówka, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-plac-zawiszy-platynowa-6-ID4qLnu
"ożarowska 2/32, Koło, Wola, Warszawa, mazowieckie",479 000 zł,20 m²,pełna własność,1,do zamieszkania,3/5,,195 zł,,miejskie,,wtórny,prywatny,,1951,kamienica,plastikowe,tak,,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka",piwnica,,https://www.otodom.pl/pl/oferta/kawalerka-wola-kolo-w-kamienicy-ID4rnZx
"ul. Bruzdowa 79b, Zawady, Wilanów, Warszawa, mazowieckie",2 499 000 zł,129 m²,pełna własność,6,do wykończenia,1/2,"ogródek, taras",,garaż/miejsce parkingowe,gazowe,,pierwotny,prywatny,,2025,kamienica,drewniane,nie,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,"klimatyzacja, dwupoziomowe, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/tylko-jeden-lokal-w-takiej-cenie-promocja-229m2-ID4q7Hp
"ul. Górczewska, Ulrychów, Wola, Warszawa, mazowieckie",680 000 zł,"39,5 m²",,2,,2/9,balkon,880 zł,,miejskie,,wtórny,biuro nieruchomości,,,blok,plastikowe,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",,piwnica,,https://www.otodom.pl/pl/oferta/wola-gorczewska-39-5m2-2pok-metro-balkon-ID4rnZh
"ul. Michała Oczapowskiego, Wawrzyszew, Bielany, Warszawa, mazowieckie",668 000 zł,37 m²,pełna własność,1,do zamieszkania,2/3,balkon,649 zł,,miejskie,,wtórny,biuro nieruchomości,2024-09-02,1958,kamienica,plastikowe,nie,internet,"drzwi / okna antywłamaniowe, domofon / wideofon",meble,"klimatyzacja, piwnica",cegła,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-na-starych-bielanach-ID4rnZa
"ul. Antoniego Magiera, Słodowiec, Bielany, Warszawa, mazowieckie",628 000 zł,36 m²,,2,do wykończenia,1/3,balkon,600 zł,,miejskie,,wtórny,biuro nieruchomości,,1968,blok,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",meble,piwnica,inny,https://www.otodom.pl/pl/oferta/mile-mieszkanie-z-balkonem-i-widokiem-na-drzewa-ID4rnZ9
"Dyrekcyjna, Szamoty, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,"61,14 m²",pełna własność,3,do wykończenia,1/6,,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/ursus-classic-mieszkanie-3-pok-c1-128-ID4ltwa
"ul. Pałuków, Tarchomin, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"40,2 m²",pełna własność,2,do wykończenia,2/8,balkon,,garaż/miejsce parkingowe,inne,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/nowosc-przy-galerii-polnocnej-bialoleka-m68-ID4pOXU
"ul. Jutrzenki, Salomea, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,"56,85 m²",pełna własność,3,do wykończenia,3/5,balkon,,garaż/miejsce parkingowe,inne,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/miasteczko-jutrzenki-mieszkanie-106c-m013-ID4ri9u
"ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,"46,25 m²",pełna własność,3,do wykończenia,1/3,,,garaż/miejsce parkingowe,inne,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/apartamenty-talarowa-mieszkanie-3-pok-at-a12-ID4pmKc
"ul. Poezji, Falenica, Wawer, Warszawa, mazowieckie","1 099 429,80 zł","77,46 m²",użytkowanie wieczyste / dzierżawa,4,do wykończenia,5/5,"balkon, taras",,,miejskie,,pierwotny,deweloper,,2025,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/4-pokoje-z-tarasem-na-dachu-ul-poematu-ID4qNVW
"ul. Zgierska 1, Grochów, Praga-Południe, Warszawa, mazowieckie",331 198 zł,"16,24 m²",pełna własność,1,do wykończenia,1/3,,,,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/praga-studio-lokal-inwestycyjny-1-pok-1-09-ID4ooYJ
"Nowodwory, Białołęka, Warszawa, mazowieckie",715 000 zł,48 m²,,2,do zamieszkania,3/3,"balkon, taras",,,,,wtórny,biuro nieruchomości,,2014,,plastikowe,tak,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-48m2-taras-obok-tramwaju-ID4rnY4
"Bródno, Targówek, Warszawa, mazowieckie",863 000 zł,64 m²,pełna własność,3,,1/7,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,,2024,apartamentowiec,plastikowe,tak,"telewizja kablowa, telefon",teren zamknięty,,,,https://www.otodom.pl/pl/oferta/targowek-3-pokoje-metro-tramwaj-autobus-ID4rnY2
"Szamoty, Ursus, Warszawa, mazowieckie",814 000 zł,60 m²,pełna własność,3,,1/7,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,,2024,apartamentowiec,plastikowe,tak,"telewizja kablowa, telefon",teren zamknięty,,,,https://www.otodom.pl/pl/oferta/ursus-3-pokoje-60m2-gotowe-ID4rnY3
"Stegny, Mokotów, Warszawa, mazowieckie",916 000 zł,60 m²,pełna własność,3,,1/7,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,,2024,apartamentowiec,drewniane,tak,"telewizja kablowa, telefon",teren zamknięty,,,,https://www.otodom.pl/pl/oferta/mokotow-60m2-3-pokoje-stegny-ID4rnY1
"ul. Zgrupowania AK ""Żmija"", Piaski, Bielany, Warszawa, mazowieckie",947 000 zł,70 m²,pełna własność,3,do zamieszkania,3/4,balkon,800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-27,2000,blok,,nie,"telefon, internet, telewizja kablowa","drzwi / okna antywłamaniowe, domofon / wideofon, teren zamknięty, monitoring / ochrona",,piwnica,pustak,https://www.otodom.pl/pl/oferta/3-pokoje-loggia-miejsce-parkingowe-ID4rnXI
"Czyste, Wola, Warszawa, mazowieckie",650 000 zł,"30,25 m²",pełna własność,1,,1/4,,420 zł,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,2024-06-23,1931,,,nie,,,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. użytkowe",,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-wola-metro-ID4rnXB
"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",980 000 zł,53 m²,pełna własność,2,do zamieszkania,2/4,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2013,blok,drewniane,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","klimatyzacja, piwnica, pom. użytkowe",,https://www.otodom.pl/pl/oferta/2-pokoje-ostoja-wilanow-hlonda-garaz-komorka-ID4rcBq
"ul. Sady Żoliborskie, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",560 000 zł,"29,5 m²",,1,,3/9,,400 zł,,,,wtórny,biuro nieruchomości,2024-07-04,1965,,,tak,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-z-oddzielna-kuchnia-w-super-lokalizacji-ID4rnXr
"Stara Ochota, Ochota, Warszawa, mazowieckie",777 700 zł,33 m²,pełna własność,2,do zamieszkania,1/6,,500 zł,,miejskie,A,wtórny,prywatny,,1955,kamienica,plastikowe,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",piwnica,cegła,https://www.otodom.pl/pl/oferta/cichepiekneblisko-centrum-kamienica-ID4rnVW
