Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"ul. Siedmiogrodzka 1, Czyste, Wola, Warszawa, mazowieckie",1 850 025 zł,"72,55 m²",pełna własność,3,do zamieszkania,5/15,balkon,960 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,2024-07-05,2016.0,,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, domofon / wideofon, monitoring / ochrona","lodówka, meble, pralka",piwnica,inny,https://www.otodom.pl/pl/oferta/siedmiogrodzka-1-synonim-luksusu-w-sercu-warszawy-ID4rrTV
"ul. Stawki 6, Muranów, Śródmieście, Warszawa, mazowieckie",1 000 000 zł,"54,9 m²",pełna własność,2,do zamieszkania,3/7,balkon,990 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-05,2008.0,apartamentowiec,,tak,,"monitoring / ochrona, domofon / wideofon",,piwnica,beton,https://www.otodom.pl/pl/oferta/metro-dw-gdanski-arkadia-oaza-spokoju-ID4rrTU
"Służewiec, Mokotów, Warszawa, mazowieckie",1 280 000 zł,"55,5 m²",pełna własność,2,do zamieszkania,9/11,,840 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-04,2017.0,apartamentowiec,drewniane,tak,,"monitoring / ochrona, domofon / wideofon",meble,,,https://www.otodom.pl/pl/oferta/nowoczesny-2-pokojowy-apartament-na-woronicza-33b-ID4rrTT
"al. Aleje Jerozolimskie, Skorosze, Ursus, Warszawa, mazowieckie",1 257 000 zł,"84,27 m²",pełna własność,3,do zamieszkania,parter/3,"ogródek, taras",800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-02-23,2023.0,blok,plastikowe,tak,,monitoring / ochrona,,oddzielna kuchnia,cegła,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-mozliwoscia-4-ID4poye
"ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie",740 000 zł,47 m²,pełna własność,3,do remontu,7/11,balkon,700 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1968.0,blok,plastikowe,tak,"telewizja kablowa, internet",domofon / wideofon,,"piwnica, oddzielna kuchnia",inny,https://www.otodom.pl/pl/oferta/super-lokalizacja-i-widok-na-warszawski-manhattan-ID4r7n1
"ul. Dzika, Muranów, Śródmieście, Warszawa, mazowieckie",959 900 zł,"39,69 m²",pełna własność,1,do zamieszkania,4/7,balkon,534 zł,,miejskie,,wtórny,biuro nieruchomości,2024-04-16,2004.0,blok,,tak,,monitoring / ochrona,,,cegła,https://www.otodom.pl/pl/oferta/kawalerka-z-mozliwoscia-dwoch-pokoi-ID4qaA1
"ul. Antonia Corazziego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",820 000 zł,35 m²,pełna własność,2,do zamieszkania,4/4,balkon,450 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1960.0,kamienica,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, piekarnik, kuchenka, pralka",pom. użytkowe,cegła,https://www.otodom.pl/pl/oferta/2-pokojowe-ciche-mieszkanie-w-centrum-warszawy-ID4rrTr
"ul. Flisaków, Kobiałka, Białołęka, Warszawa, mazowieckie",870 000 zł,"69,6 m²",pełna własność,3,do zamieszkania,parter/3,"ogródek, taras",950 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-08-01,2019.0,blok,plastikowe,tak,,"drzwi / okna antywłamaniowe, monitoring / ochrona",,,cegła,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-spokojnym-osiedlu-ID4r2RG
"ul. Strubiczów, Okęcie, Włochy, Warszawa, mazowieckie",600 000 zł,"36,5 m²",spółdzielcze wł. prawo do lokalu,2,do remontu,5/10,balkon,470 zł,,miejskie,,wtórny,biuro nieruchomości,,1966.0,blok,plastikowe,tak,,,,"piwnica, oddzielna kuchnia, pom. użytkowe",wielka płyta,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-granicy-ochory-ID4nFZc
"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",899 000 zł,"60,38 m²",pełna własność,3,do zamieszkania,1/3,balkon,760 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-04-08,2017.0,blok,,tak,,"system alarmowy, monitoring / ochrona",,,cegła,https://www.otodom.pl/pl/oferta/komfortowe-i-przestronne-mieszkanie-na-bialolece-ID4q1nl
"ul. Jerzego Michałowicza, Czechowice, Ursus, Warszawa, mazowieckie",1 400 000 zł,120 m²,pełna własność,5,do zamieszkania,1/2,balkon,,,gazowe,,wtórny,biuro nieruchomości,2024-09-01,1996.0,dom wolnostojący,,nie,,monitoring / ochrona,,,cegła,https://www.otodom.pl/pl/oferta/bezczynszowy-segment-z-ogrodkiem-na-ursusie-ID4ragA
"ul. Wólczyńska, Wólka Węglowa, Bielany, Warszawa, mazowieckie",1 380 000 zł,95 m²,pełna własność,4,do zamieszkania,,balkon,840 zł,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,2024-03-16,2006.0,,,nie,,,,,cegła,https://www.otodom.pl/pl/oferta/piekny-segment-na-bielanach-ID4rcIa
"ul. Wólczyńska 69, Huta, Bielany, Warszawa, mazowieckie",770 000 zł,"40,43 m²",pełna własność,2,do zamieszkania,> 10/14,,550 zł,garaż/miejsce parkingowe,miejskie,A,wtórny,biuro nieruchomości,,2021.0,apartamentowiec,plastikowe,tak,,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,cegła,https://www.otodom.pl/pl/oferta/funkcjonalne-2-pokoje-garaz-ID4rrTe
"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",799 000 zł,"37,5 m²",,2,do zamieszkania,8/10,balkon,715 zł,,miejskie,,wtórny,biuro nieruchomości,2024-04-26,1969.0,blok,,tak,,,,piwnica,inny,https://www.otodom.pl/pl/oferta/po-remoncie-dwupokojowe-na-solcu-37-m2-ID4ql1J
"pl. Plac Mirowski, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",929 000 zł,"50,6 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,3/6,balkon,980 zł,,miejskie,,wtórny,biuro nieruchomości,,1980.0,blok,,tak,,,,,inny,https://www.otodom.pl/pl/oferta/3-pok-pewniak-inwestycyjny-przy-placu-mirowskim-ID4rrT0
"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",810 000 zł,"52,8 m²",,3,do wykończenia,6/10,balkon,700 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-19,1974.0,blok,,tak,,,,"oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/mieszkaniez-balkonem-i-pieknym-widokiem-ID4qJ1e
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",1 079 300 zł,"58,34 m²",pełna własność,3,,,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/mieszkanie-58-34-m-warszawa-ID4qJwy
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",677 500 zł,"36,42 m²",pełna własność,1,,parter/5,taras,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/mieszkanie-36-42-m-warszawa-ID4qMv1
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",983 000 zł,"49,63 m²",pełna własność,2,,,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-49-63-m-warszawa-ID4qMv3
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",847 000 zł,"44,1 m²",pełna własność,2,,,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/mieszkanie-44-10-m-warszawa-ID4qMv5
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",888 000 zł,"44,61 m²",pełna własność,2,,,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/mieszkanie-44-61-m-warszawa-ID4qMvb
"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",565 000 zł,"30,37 m²",pełna własność,1,,parter/5,"balkon, taras",,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2018.0,,plastikowe,tak,,,,oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/mieszkanie-30-37-m-warszawa-ID4r7Sc
"ul. Konstancińska, Sadyba, Mokotów, Warszawa, mazowieckie",1 200 000 zł,"60,7 m²",pełna własność,3,do zamieszkania,7/9,balkon,980 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2008.0,blok,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",pom. użytkowe,pustak,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-swietnej-lokalizacji-ID4rmtP
"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",829 000 zł,"37,75 m²",pełna własność,2,do zamieszkania,5/5,balkon,540 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2022.0,blok,,tak,,,,,cegła,https://www.otodom.pl/pl/oferta/2-pok-premium-na-osiedlu-stacja-grochow-ID4rrSk
"Sielce, Mokotów, Warszawa, mazowieckie",1 250 000 zł,88 m²,,4,,5/5,,,,,,wtórny,biuro nieruchomości,,1956.0,kamienica,,nie,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-na-warszawkim-mokotowie-przestronne-ID4rrSe
"Młociny, Bielany, Warszawa, mazowieckie",1 329 000 zł,80 m²,pełna własność,3,do wykończenia,parter/6,"ogródek, taras",,garaż/miejsce parkingowe,,,wtórny,prywatny,,2024.0,apartamentowiec,plastikowe,tak,,"teren zamknięty, domofon / wideofon",,"piwnica, oddzielna kuchnia, pom. użytkowe",,https://www.otodom.pl/pl/oferta/mieszkanie-80m-z-ogrodem-nowe-st-deweloperski-ID4rrRK
"al. Aleje Jerozolimskie, Salomea, Włochy, Warszawa, mazowieckie",445 000 zł,25 m²,pełna własność,1,do zamieszkania,3/5,,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2020.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, kuchenka",klimatyzacja,cegła,https://www.otodom.pl/pl/oferta/kawalerka-na-wlochach-super-inwestycja-ID4rrRH
"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",569 000 zł,"37,61 m²",,2,do wykończenia,4/7,balkon,390 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2024.0,blok,plastikowe,tak,,"domofon / wideofon, monitoring / ochrona",,,silikat,https://www.otodom.pl/pl/oferta/2pk-balkon-7-5m2-700m-do-skm-stan-deweloper-ID4rrRD
"ul. Makolągwy, Stary Imielin, Ursynów, Warszawa, mazowieckie",1 586 000 zł,115 m²,pełna własność,4,do zamieszkania,parter/3,"ogródek, taras",833 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,,1999.0,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,cegła,https://www.otodom.pl/pl/oferta/ogrodek-220-m2-kominek-2-lazienki-garaz-ID4oxZh
"ul. Meander, Natolin, Ursynów, Warszawa, mazowieckie",980 000 zł,"63,58 m²",pełna własność,3,,10/10,balkon,,,miejskie,,wtórny,biuro nieruchomości,2024-04-23,1985.0,blok,,tak,,,,piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/3-pokoje-63-m-natolin-5-min-do-metra-ID4qhz4
"ul. gen. Józefa Zajączka, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",598 000 zł,"35,5 m²",,2,do remontu,4/9,,510 zł,,,,wtórny,biuro nieruchomości,2024-06-01,1954.0,blok,plastikowe,tak,,"teren zamknięty, monitoring / ochrona",,piwnica,,https://www.otodom.pl/pl/oferta/2pk-przy-arkadii-osobna-kuchnia-metro-ID4qAzf
"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",664 100 zł,29 m²,pełna własność,1,,4/8,balkon,450 zł,,miejskie,,wtórny,biuro nieruchomości,,2021.0,blok,,tak,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,,silikat,https://www.otodom.pl/pl/oferta/kawalerka-na-woli-l-balkon-l-wynajeta-ID4qIzf
"pl. Plac gen. Józefa Hallera, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",649 000 zł,"31,87 m²",pełna własność,1,do remontu,3/6,,625 zł,,miejskie,,wtórny,biuro nieruchomości,2024-01-31,1953.0,kamienica,plastikowe,tak,,monitoring / ochrona,,,cegła,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-na-placu-hallera-ID4oOeL
"Jelonki Północne, Bemowo, Warszawa, mazowieckie",744 800 zł,"53,2 m²",spółdzielcze wł. prawo do lokalu,2,do wykończenia,2/3,balkon,670 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-08,1979.0,blok,plastikowe,nie,,domofon / wideofon,meble,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-bemowie-do-remontu-ID4rrQX
"ul. Wołoska, Wierzbno, Mokotów, Warszawa, mazowieckie",569 000 zł,"28,5 m²",pełna własność,1,do zamieszkania,6/8,balkon,343 zł,,miejskie,,wtórny,biuro nieruchomości,2024-06-18,1973.0,blok,plastikowe,tak,,"drzwi / okna antywłamaniowe, domofon / wideofon",meble,,inny,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-po-generalmym-remoncie-met-ID4r7Ef
"Drwęcka, Grochów, Praga-Południe, Warszawa, mazowieckie",1 399 000 zł,"70,72 m²",pełna własność,3,,5/5,"balkon, taras",950 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2023.0,apartamentowiec,plastikowe,tak,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,"piwnica, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/ostatnie-pietro-3-pok-ogromny-taras-garderoba-ID4rrQS
"ul. Bokserska, Służew, Mokotów, Warszawa, mazowieckie","836 316,56 zł","44,89 m²",pełna własność,2,,1/7,balkon,,garaż/miejsce parkingowe,,,pierwotny,biuro nieruchomości,2026-05-01,2026.0,,,nie,,,,,,https://www.otodom.pl/pl/oferta/mokotow-2-pokoje-45-m-bez-prowizji-i-pcc-ID4r8uF
"ul. Rogalińska, Czyste, Wola, Warszawa, mazowieckie",1 265 000 zł,56 m²,pełna własność,2,do zamieszkania,5/8,,,,miejskie,,wtórny,biuro nieruchomości,,2008.0,apartamentowiec,plastikowe,nie,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-w-swietnej-lokalizacji-ID4rrQI
"ul. Adama Jarzębskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",499 000 zł,"27,5 m²",,1,do zamieszkania,1/10,balkon,500 zł,,miejskie,,wtórny,biuro nieruchomości,2024-05-08,1970.0,blok,,tak,,,meble,piwnica,inny,https://www.otodom.pl/pl/oferta/kawalerka-swietna-komunikacja-ID4qunx
"ul. Instalatorów, Raków, Włochy, Warszawa, mazowieckie",859 000 zł,"57,34 m²",pełna własność,3,do wykończenia,3/6,balkon,570 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-01,2024.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/swietny-uklad-klucze-w-wakacje-450m-pkp-rakowiec-ID4rbas
"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",589 000 zł,"39,37 m²",,2,do wykończenia,3/7,balkon,390 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2023.0,blok,plastikowe,tak,,"domofon / wideofon, monitoring / ochrona",,,silikat,https://www.otodom.pl/pl/oferta/2-pokoje-l-kwiecien-2025-skm-700m-stan-dewelop-ID4rbat
"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",493 900 zł,26 m²,pełna własność,1,do wykończenia,parter/8,,300 zł,,,,wtórny,biuro nieruchomości,2024-06-18,2024.0,blok,plastikowe,tak,,,,,,https://www.otodom.pl/pl/oferta/gotowa-kawalerka-przy-metrze-chrzanow-l-1-pcc-ID4rhaj
"ul. Ostrobramska, Grochów, Praga-Południe, Warszawa, mazowieckie",649 000 zł,"49,1 m²",,2,do remontu,2/4,balkon,1 000 zł,,miejskie,,wtórny,biuro nieruchomości,2024-09-30,1990.0,blok,,nie,,monitoring / ochrona,,"piwnica, oddzielna kuchnia, pom. użytkowe",pustak,https://www.otodom.pl/pl/oferta/dwa-pokoje-z-opcja-wydzielenia-trzeciego-ID4oXra
"ul. Klaudyny, Marymont-Ruda, Bielany, Warszawa, mazowieckie",989 900 zł,"66,45 m²",,4,do remontu,7/15,balkon,816 zł,,miejskie,,wtórny,biuro nieruchomości,2024-06-20,1977.0,blok,,tak,,monitoring / ochrona,,"piwnica, oddzielna kuchnia, pom. użytkowe",żelbet,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-las-bielanski-ID4qFU2
"ul. Bolesława Limanowskiego, Sadyba, Mokotów, Warszawa, mazowieckie",620 000 zł,38 m²,,2,do wykończenia,4/4,balkon,,,miejskie,,wtórny,biuro nieruchomości,,1969.0,blok,,nie,,domofon / wideofon,,piwnica,,https://www.otodom.pl/pl/oferta/widok-na-zielen-super-uklad-kameralna-okolica-ID4rrPh
"ul. Waliców 20, Mirów, Wola, Warszawa, mazowieckie",1 049 982 zł,48 m²,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,9/15,,653 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1972.0,blok,drewniane,tak,,"domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka","klimatyzacja, piwnica",wielka płyta,https://www.otodom.pl/pl/oferta/bezposrednio-3pok-metro-onz-parking-klima-ID4qP2g
"ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie",660 000 zł,"42,9 m²",pełna własność,3,do zamieszkania,2/4,balkon,1 000 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,,2000.0,blok,drewniane,tak,,monitoring / ochrona,,,pustak,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-nowodworach-ID4raVj
"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",1 750 000 zł,85 m²,pełna własność,4,do zamieszkania,2/7,balkon,1 000 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-14,2020.0,blok,plastikowe,tak,internet,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,https://www.otodom.pl/pl/oferta/4-pokojowe-2-lazienki-2-miejsca-parkingowe-ID4rnm8
"ul. Światowida, Nowodwory, Białołęka, Warszawa, mazowieckie",949 000 zł,"56,49 m²",pełna własność,3,do zamieszkania,1/8,"balkon, taras",,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2016.0,blok,plastikowe,tak,,monitoring / ochrona,meble,,inny,https://www.otodom.pl/pl/oferta/m3-z-duzym-tarasem-na-tarchominie-z-2016-roku-ID4qT4r
"ul. Sułkowicka, Sielce, Mokotów, Warszawa, mazowieckie",1 950 000 zł,71 m²,pełna własność,2,,2/10,balkon,1 300 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-05-13,2009.0,apartamentowiec,,tak,internet,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",klimatyzacja,beton,https://www.otodom.pl/pl/oferta/apartament-w-belwedere-residense-obok-parku-ID4qzZo
"ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 599 000 zł,"69,89 m²",pełna własność,3,do zamieszkania,1/6,balkon,1 000 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2014.0,apartamentowiec,,tak,,,meble,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-atelier-zoliborz-ID4pLDd
"ul. Loteryjki, Wólka Węglowa, Bielany, Warszawa, mazowieckie",601 404 zł,"43,58 m²",pełna własność,2,do wykończenia,1/3,balkon,,garaż/miejsce parkingowe,,,pierwotny,biuro nieruchomości,,2024.0,blok,,tak,,monitoring / ochrona,,,,https://www.otodom.pl/pl/oferta/mieszkanie-43-58-m-warszawa-ID4rrOR
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",659 498 zł,"55,42 m²",pełna własność,3,do wykończenia,1/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-55-42-m2-iiiq-2025-ID4rrOP
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",608 988 zł,"53,42 m²",pełna własność,3,do wykończenia,1/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-53-42-m2-iiiq-2025-ID4rrOQ
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",564 707 zł,"39,49 m²",pełna własność,3,do wykończenia,5/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-39-49m2-iiiq-2025-duzy-taras-ID4rrOO
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",412 482 zł,"25,62 m²",pełna własność,1,do wykończenia,4/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/kawalerka-25-62-m2-iiiq-2025-ID4rrOM
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",505 824 zł,"38,32 m²",pełna własność,2,do wykończenia,1/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-38-32m2-iiiq-2025-ID4rrOK
"Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",647 157 zł,"55,55 m²",pełna własność,3,do wykończenia,1/5,,,,miejskie,,pierwotny,biuro nieruchomości,,2025.0,,,tak,,"system alarmowy, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-55-55-m2-iiiq-2025-ID4rrOL
"Raków, Włochy, Warszawa, mazowieckie",661 904 zł,"40,36 m²",,2,do wykończenia,1/6,balkon,,garaż/miejsce parkingowe,,,pierwotny,biuro nieruchomości,,2024.0,blok,plastikowe,tak,internet,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",,inny,https://www.otodom.pl/pl/oferta/odbior-w-2024-pakiet-wykonczeniowy-cesja-ID4rrOJ
"Groszówka, Wesoła, Warszawa, mazowieckie",409 000 zł,42 m²,pełna własność,2,do wykończenia,2/2,,540 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,,2022.0,dom wolnostojący,plastikowe,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",,"dwupoziomowe, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-ID4rrOe
"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",1 569 000 zł,"68,5 m²",pełna własność,3,do zamieszkania,5/6,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-09,2023.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,"klimatyzacja, pom. użytkowe",silikat,https://www.otodom.pl/pl/oferta/komorka-lok-gratis-69m2-przy-metrze-duzy-balkon-ID4qYxe
"ul. Szczęsna, Stare Włochy, Włochy, Warszawa, mazowieckie",1 179 000 zł,"51,4 m²",pełna własność,2,do zamieszkania,2/2,"balkon, taras",,garaż/miejsce parkingowe,inne,,wtórny,biuro nieruchomości,2024-06-09,2023.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka",,silikat,https://www.otodom.pl/pl/oferta/2-pokojowe-fantastyczny-duzy-piekny-taras-garaz-ID4qtEB
"ul. Spalinowa, Grochów, Praga-Południe, Warszawa, mazowieckie",2 350 000 zł,96 m²,pełna własność,4,do zamieszkania,3/4,balkon,1 460 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-09,2022.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","klimatyzacja, pom. użytkowe",silikat,https://www.otodom.pl/pl/oferta/dwupoziomowe-saska-kepa-grochow-4pokoje-garderoba-ID4ph5X
"ul. Portowa, Żerań, Białołęka, Warszawa, mazowieckie",799 000 zł,"69,3 m²",,3,,2/3,,,,,,wtórny,biuro nieruchomości,,1994.0,,,nie,,,,,,https://www.otodom.pl/pl/oferta/3-niezalezne-pokoje-z-widna-kuchnia-ID4rrNE
"ul. Grzybowska 61, Mirów, Wola, Warszawa, mazowieckie",1 297 250 zł,"52,29 m²",pełna własność,2,,> 10/22,,,,miejskie,,wtórny,prywatny,,,,,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",klimatyzacja,,https://www.otodom.pl/pl/oferta/sprzedam-apartament-bezposrednio-centrum-ID4rrMC
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",560 000 zł,"31,01 m²",pełna własność,2,do wykończenia,1/8,,,,,,pierwotny,prywatny,,2024.0,apartamentowiec,,nie,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-odbior-kluczy-we-wrzesniu-ID4rrKA
